Name,Company name,Street Address,City,State,Country,Zip,Phone,Email,Attachments,Open balance
Amphora Financial Group,,"2nd Floor CGI Tower
Warrens",,St. Michael  BB22026,,,421-7674,camille.walker@amphoragroup.bb,0,0.00
Andrew Hart,,,,,,,,,0,0.00
Andromeda Botanic Gardens,,Bathsheba,,St.Joseph,Barbados,,248-0190 (Sharon Cooke),sharon@andromedabarbados.com,0,0.00
Ansa McAl (Barbados) Ltd.,,Wildey,,St. Michael,,,4342900,"lorna.gay@mcalbds.com, accounts@mcalbds.com",0,448.86
Ansa Merchant Bank (Barbados) Ltd.,,Hastings Main Road,,Christ Church,Barbados,,467-2375,"jo-ann.griffith@ansamcal.com, joy-ann.farnum@ansamcal.com, ansamerchant@ansamcal.com",0,789.62
ANSA Motors (Barbados) Ltd. - Collision Repairs,,Wildey,,St.Michael,Barbados,,"467-2400, 467-2502","ansamotorsap@ansamotorsbb.com, laura.roach@ansamotorsbb.com",0,876.85
ANSA Motors (Barbados) Ltd. - Sales Department,,Wildey,,St. Michael,,,"467-2400, 467-2502","clintona.norville@ansamotorsbb.com, rianne.springer@ansamotorsbb.com, ansamotorsap@ansamotorsbb.com",0,"3,871.68"
AnSA Motors (Barbados) Ltd. - Service,,"""Service Centre""
Wildey",,St. Michael,,,467-2502,"ansamotorsap@ansamotorsbb.com, jason.marshall@ansamotorsbb.com,  rianne.springer@ansamotorsbb.com",0,509.36
AON Insurance Managers (B'dos) Ltd.,,P.O. Box 1304,,Bridgetown,,,436-4895 ext 2230,aonbarbadosadmin@aon.com,0,412.43
Armstrong Agencies Ltd.,,Lower Estate,,St. Michael,,,426-2767,"accounts@armstrong.com.bb, ann@armstrong.com.bb",0,202.69
Armstrong Health Care Inc.,,"One Armstrong Place, Lot #13
Resilience Way, Lower Estate",,St. Michael,,,417-7979,ahciaccounts@armstrong.com.bb,0,"1,309.53"
Atlantis Adventures,,"P.O.Box 394
Shallow Draft",Bridgetown,,Barbados,,436-8968,"wscott@atlantissubmarines.com, rgmyers@atlantissubmarines.com, eforde@atlantissubmarines.com",0,"1,320.00"
Automotive Art,,Wildey,,St. Michael,,,426-1800,"nikitajoseph@automotiveart.com, chericeholford@automotiveart.com, chrismaloney@automotiveart.com",0,0.00
B'dos Coalition of Service Industries Ltd,,"Building 2 Suite 1A
Manor Lodge Complex
Green Hill",,St. Michael,Barbados,,429-5357,"gclarke@bcsi.org.bb, sclarke@bcsi.org.bb, accounts@bcsi.org.bb",0,0.00
B.H.S.,,C/O Design Collaborative,"Lauriston House, Collymore Rock",St. Michael,,,426-1741,b.blackman-bhs@caribsurf.com,0,197.40
Back Into Motion Physiotherapy,,"#20 Pavillion Court, Hastings",,Christ Church,,,262-2436,"info@bim.physio, rnoble@bim.physio, cbanfield@bim.physio",0,0.00
Bank of Nova Scotia - Corporate & Commercial Banking,,"4th Floor, CGI Building, Warrens",,St. Michael,,,431-3040,"sherrise.alleyne@scotiabank.com, cebillings@scotiabank.com",0,0.00
Bank of Nova Scotia Broad Street Branch,,Broad Street,,Bridgetown,,,431-3129,"cebillings@scotiabank.com, charlene.berry@scotiabank.com, ryan.carrington@scotiabank.com",0,0.00
Bank of Nova Scotia Haggatt Hall Branch,,Haggatt Hall,,St. Michael,,,430-6135,"bonnie.springer@scotiabank.com, cebillings@scotiabank.com",0,0.00
Bank of Nova Scotia Holetown Branch,,Holetown,,St. James,,,419-1602,"raymondr.green@scotiabank.com, cebillings@scotiabank.com",0,0.00
Bank of Nova Scotia Processing Support Centre,,"Byer Court, Wildey",,St. Michael,,,426-7000,cebillings@scotiabank.com,0,0.00
Bank of Nova Scotia Rockley Branch,,Rockley,,Christ Church,,,431-3172,"kemar.stevenson@scotiabank.com, raymondr.green@scotiabank.com, cebillings@scotiabank.com",0,0.00
Bank of Nova Scotia Systems Support Centre,,Broad Street,,Bridgetown,,,,,0,0.00
Bank of Nova Scotia Wildey Branch,,Wildey,,St. Michael,,,430-1284,kelly.lucas@scotiabank.com,0,0.00
Barbados Bottling Company Ltd,,Thornbury Hill,,Christ Church,Barbados,,,sbrewster-charles@koscab.com,0,0.00
Barbados Cricket Association,,Fontabelle,,St.Michael,,Attn : Bonita Thompson-Gooding,538-1932,"theoffice@bca.org.bb, vhaynes@bca.org.bb, kgrant@bca.org.bb",0,0.00
Barbados Deposit Insurance Corporation,,5th Floor Tom Adams Financial Centre,,Bridgetown,,,435-2663,dskinner@bdic.org.bb,0,0.00
Barbados Fertility Centre,,"Seaston House
Hastings",,Christ Church,,,435-7467,calexander@barbadosivf.com,0,152.75
Barbados Golf Club,,Durants,Christ Church,,,,538-4653,"jscheper@barbadosgolfclub.com, sedwards@barbadosgolfclub.com",0,0.00
Barbados International Business  Association,,"19 Pine Road
Belleville",,St.Michael,Barbados,,537-2422 ext 1010,"adminassistant@biba.bb, biba@biba.bb",0,277.59
Barbados Investment & Development Corp.,,P.O. Box 1250,,Bridgetown,,,427-5350,"invoices@bidc.org, accounts@bidc.org",0,"2,143.23"
Barbados Light & Power Co. Ltd.,,Bay Street,,Bridgetown,,,626-4257,"majella.gooding@blpc.com.bb, tanya.quarless@blpc.com.bb, blpc_invoices@blpc.com.bb",0,"2,387.60"
Barbados Light & Power Co. Ltd. Spring Garden,,Spring Garden Highway,,St Michael,,Attention Ms. S. Simmons,,"sandee.simmons@blpc.com.bb, tanya.quarless@blpc.com.bb, blpc_invoices@blpc.com.bb",0,"1,015.20"
Barbados National  Oil Company Limited,,Woodbourne,,St.Philip,Barbados,,418-5200 (Rodney Alkins),"alkinsr@bnocl.com, adminr@bnocl.com",0,0.00
Barbados National Terminal Company Limited,,Woodbourne,,St.Philip,Barbados,BB18064,418-5203,Hazlewoods@bnocl.com,0,0.00
Barbados National Trust,,"Wildey Great House
Wildey",,St.Michael,Barbados,,426-2421,operations@barbadosnationaltrust.com,0,0.00
Barbados Port Inc.,,"University Row
Princess Alice Highway",,Bridgetown,,,434-6131,"kforde@barbadosport.com, cwaithe@barbadosport.com, csoudatt@barbadosport.com",0,"1,528.08"
Barbados Shipping Association,,2nd Floor Trident House,,Bridgetown,Barbados,,427-9860,"julianne@shippingbarbados.com, be.banne@shippingbarbados.com",0,367.49
Barbados Tourism Investment Inc.,,"Old Town Hall Building
Cheapside",,Bridgetown   BB11142,,,426-7085,"vtaitt@tourisminvest.com.bb, mbyer@tourisminvest.com.bb",0,978.78
Barbados Turf Club,,P.O. Box 201,,Bridgetown,,,626-3980,"rpeirce@barbadosturfclub.org, vgaskin@barbadosturfclub.org, chutchinson@barbadosturfclub.org",0,0.00
Barbados Wildlife Reserve,,Farley Hill,St. Peter,,,,422-8826,k.harrison.bprc@gmail.com,0,660.00
BCIC Barbados,,"Manor Lodge,  Green Hill",,St. Michael,,,621-7346,"alexandral@bcicbarbados.com, accounts@bcicbarbados.com, barbadosbillings@bcicbarbados.com",0,732.04
Beach View Property Ltd,,Payne's Bay,,St.James,Barbados,,432-2300,hnwalcott@caribsurf.com,0,0.00
Bean and Bagel South,,"Rockley Golf Course
Rockley",,Christ Church,,,230-9547 (Philip),"philipjmayers@yahoo.com, rich50@mac.com",0,0.00
Beautiful Barbados Tours & Excursions Ltd.,,#72 Crystal Court,St. James,,,,437-6823,sarah@glorytours.org,0,"1,254.00"
BIDC (Pelican Village),,,,,,,427-5350,accounts@bidc.org,0,0.00
BioConnect Medical Centre,,"The Avenue
Canewood",,St.Michael,Barbados,,842-8339 (Raffaella),"rachel@bioconnectmedical.com, accounts@bioconnectmedical.com",0,0.00
Bitt Digital Inc,,"Mahogany Court,
Wildey Business Centre",,St.Michael,Barbados,,840-9859,"brittany@bitt.com, kathyannmaynard@bitt.com",0,0.00
Bixal,,"Cedar Court
Wildey",,St.Michael,Barbados,,253-3375 (Hazel),"hazel.harrison@bixal.com, kim.roberts@bixal.com, accounting@bixal.com",0,0.00
Blu Isles Destination Management Company,,Old Coverley,,Christ Cjurch,Barbados,,,accounts@bluisles.com,0,0.00
Blue Corporate Managers (B'dos) Inc.,,Braemar Court,Deighton Road,,,St. Michael   BB14017,467-6672,"mjeffers@thebluefinancialgroup.com, info@thebluefinancialgroup.com",0,0.00
Blue Diamond Resorts,,"1st Floor Dome Mall
Warrens",,St. Michael,,,266-8758,"accountantbgi@bluediamondresorts.com, cspooner@bluediamondresorts.com",0,0.00
Blue Haven,,60 Dover Gardens,,Christ Church,Barbados,,428-2290,tropicalmist@southgapbarbados.com,0,0.00
Blue Horizon Hotel,,Rockley,Christ Church,,,,,"mcollymore@innjoyhospitality.com, jhoyte@innjoyhospitality.com",0,162.16
Blue Lab,,"c/o UNDP
United Nations House
Marine Gardens",,Christ Church,Barbados,,467-6023,greta.puckerin@undp.org,0,0.00
Blue Nova Inc.,,"#3 Stafford House
Garrison",,St.Michael,,BB14038,429-2069,finance@bluenova.com,0,0.00
Blueprint Creative Inc,,Lower Estate,,St.Michael,Barbados,,436-1522,Vanessa@blueprintcreativeinc.com,0,0.00
Blueprint Management,,"2nd Floor
Hastings Financial centre",Hastings,Christ church,Barbados,BB15154,573-8858,"josee@blueprintbarbados.com, accounts@blueprintbarbados.com",0,278.77
Body Magic Day Spa Inc,,"The Beach House Complex
Holetown",,St.James,Barbados,,832-2639 (Jalissa),bodymagicdayspa@outlook.com,0,123.38
Bridgetown Duty Free,,2nd Floor,Bridgetown,,,,836-6250,"Kay.Richards@dfch.com, andrea.stoute@dfch.com",0,0.00
Brookfield Asset Management Services SRL,,Rendezvous Corporate Centre,,Rendezvous,,Christ Church  BB15131,537-5088,apbarbados@brookfield.com,0,448.85
Bryden's (Trident) Insurance Inc.,,"Suite 400 Norman Centre
Broad Street",,Bridgetown,,,"431-3611, 431-3602","charmaine.st.hill@brydensinsurance.com, jason.gill@brydensinsurance.com, nicole.mason@tridentins.com",0,0.00
Brydens Stokes Ltd.,,"Meadow Road, Wildey",,St. Michael,,,467-2233,mintie.patrick@brydenstokes.com,0,0.00
Bushy Park Circuit Inc.,,Bushy Park,St. Philip,,,,256-0114,"awillis@bushyparkbarbados.com, frontdesk@bushyparkbarbados.com",0,660.00
Business & Employment Centre,,"Kensington Court, Fontabelle",,St. Michael,,BB11000,537-7243,accounting@bbempcent.com,0,295.22
Butterfly Beach Hotel,,Maxwell Main Road,,Christ Church,Barbados,,428-9095,,0,0.00
"C. Anthony Audain, Aastra Law",,Aastra House,St.Matthias,Christ Church,Barbados,,629-0048,"dawnb@aastralaw.com, caaudain@aastralaw.com",0,92.53
C.A.L.,,The Corporate Centre,Bush Hill,Bay Street,,St. Michael,430-5310,cattong@capps.com,0,0.00
Cacique Magazine,,"Gecko Publishing
13 Kelly's Road, Wheatley",,Oxford OX3 1NT,UK,,,"gavin@geckomags.com, craig@geckomags.com",0,"2,591.72"
Cage Barbados Inc.,,43-44 Warrens Industrial Park,,St. Michael  BB22026,,,425-0718,"asinclair@cagebarbados.com, ljones@cagebarbados.com",0,"1,339.50"
Calabaza,,"Apt. B 246, Trident Ave. South",St. James,,,,826-4048,sailcalabaza@gmail.com,0,0.00
Canada Life Assurance Co. (B'dos Branch),,"4th Floor Cedar Court
Wildey",,St. Michael,,,227-1000,"rosalind.hampden-browne@canadalifere.bb, heather.grant@londonlife.bb",0,427.41
Canada Life International Reinsurance (Barbados) Corporation,,"3rd Floor Cedar Court
Wildey",,St. Michael    BB14006,,,227-1000,"rohnelle.primus@londonlife.bb, creceita.alleyne@canadalifere.bb",0,122.20
Canewood (Figtree Financial Group Ltd),,"2nd Floor Building #1
Chelston Park",,St.Michael,Barbados,,537-7800,accounts@figtreegroup.com,0,217.67
Canfornav Inc.,,"Unit #3, The Williams One Building, Warrens",,St. Michael,,,271-8270,"rbest@canfornavbarbados.com, info@canfornavbarbados.com, twelch@canfornavbarbados.com",0,0.00
Cannon Charters,,28 Prior Park,St. James,,,,424-6107,cannonbarbados@gmail.com,0,627.00
Capital Holdings (Barbados) Limited,,The Corporate Centre,Bush Hill,,,St. Michael   BB14038,832-0928 (Romario),"neil.mcintyre@terracaribbean.com, fmaccounts@terracaribbean.com",0,289.05
Caribbean Catalyst Inc.,,River Road,,Bridgetown,,,426-0821,"althea.browne@caribbeancatalyst.com, angela.boyce@caribbeancatalyst.com",0,0.00
Caribbean Consultants,,"Edghill Building
Wildey Business Park",,St.Michael,Barbados,,435-3479,"accounts@ccl.bb, pgooding@ccl.bb, ewaithe@ccl.bb",0,382.46
Caribbean Corporate Services Ltd.,,"P.O. Box 5130
Warrens",,St. Michael   BB28000,,,430-3945,"cyrlene.odle@vistra.com, cheryl.browne@vistra.com",0,162.15
Caribbean Dreams - B'dos Holiday Map,,Guinea,St. John,,,,423-0039,nicole.caribbeandreams@gmail.com,0,0.00
Caribbean LED  Lighting Inc,,"Unit 1, Dega Complex",Lower Estate,St.Michael,Barbados,,621-0092 ext 106,"tskeete@caribbeanledlighting.com, nmaughn@caribbeanledlighting.com",0,0.00
Caribbean Transportation Inc.,,"First Floor, 2 Chelston Park
Culloden Road",,St.Michael,,,430-0560,kelamarshall@cti.com.bb,0,310.20
Caricom Development Fund,,"1st Floor East
Skymall
Haggatt Hall",,St.Michael,Barbados,,436-1849,aparris@caricomdf.org,0,740.25
Carter & Company,,Wildey,,St.Michael,Barbados,,,brianhurley@carters.bb,0,0.00
Castaways Restaurant,,St.Lawrence Gap,,Christ Church,Barbados,,231-8310,"castawaysbarbados@hotmail.com, nadia_castawaysbarbados@hotmail.com",0,0.00
Cave Hill School of Business,,"University of the West Indies
P.O. Box 64",,Bridgetown,,,424-7731,"cheryl.smith@cavehill.uwi.edu, maria.daniel@cavehill.uwi.edu",0,0.00
Cave Shepherd & Co Ltd,,Norman Centre,Bridgetown,,Barbados,,538-4435,keri.mapp@caveshepherd.com,0,0.00
Central Bank Of Barbados,,"Tom Adams Financial Centre, Church Village",,Bridgetown,,Attention : Paula Trotman,436-6870,paula.trotman@centralbank.org.bb,0,0.00
CG United Insurance Ltd.,,P.O. Box 1215,,Bridgetown,,Attn. Accounts Payable,430-1943,"suann.chapman@cgcoralisle.com, marva.blackman@cgcoralisle.com",0,"1,035.17"
CGM Gallagher Ins. Brokers (B'dos)  Ltd.,,Haggatt Hall,,St. Michael,,,434-2200,"PayablesCGMB@cgmgallagher.com, shaniquagreaves@cgmgallagher.com",0,372.48
Che's Surf School,,Ashford Plantation,,St.John,Barbados,,253-4834,chesurflessons@gmail.com,0,0.00
Chicken Barn Ltd (Worthing),,"P.O.Box 71W
Worthing",,Christ Church,,,233-5838,"chickenbarnoffice@gmail.com, phynam@caribsurf.com",0,0.00
Chicken Barn Ltd. (Woodside),,"Woodside Gardens
Bay Street",,St. Michael,,,233-5838,"chickenbarnoffice@gmail.com, phynam@caribsurf.com",0,0.00
CIBC Caribbean,,"Head Office Building, Warrens",,St. Michael,,Attention : Adrian Richards,367-2242 (Adina),"acctpay@cibcfcib.com, adrian.richards@cibcfcib.com, adina.vaughan@cibcfcib.com",0,198.87
CIBC First Caribbean - Corporate Investment,,"Head Office Building, Warrens",,St.Michael,,Attn : Gillian Charles-Gollop,467-8768,"acctpay@cibcfcib.com, adrian.richards@cibcfcib.com, Karen.Sheafe-Bynoe@cibcfcib.com",0,0.00
CIBC First Caribbean - Oistins Branch,,Oistins,,Christ Church,,,418-8112,"colleen.webster@cibcfcib.com, nicole.gibson@cibcfcib.com",0,0.00
CIBC First Caribbean - Property Services,,Warrens,,St. Michael,,Attention : JeNeil Philip,467-1832,"adrian.richards@cibcfcib.com, acctpay@cibcfcib.com, Karen.Sheafe-Bynoe@cibcfcib.com",0,0.00
CIBC First Caribbean - Wealth Management Centre,,Warrens,,St. Michael,,Attention : Dionne Boyce,367-2040 (Dionne),"joy.greenidge@cibcfcib.com, acctpay@cibcfcib.com, julieann.green@cibcfcib.com",0,0.00
CIBC Reinsurance,,"CIBC Centre, Warrens",,St. Michael,,,367-2489,"david.self@wi.cibc.com, cibcre.finance@wi.cibc.com, jacqueline.mahon@wi.cibc.com",0,0.00
Codrington College  Cafe,,Codrington College,,St.John,Barbados,,537-0077,"michael@terasubarbados.com, accounts@terasubarbados.com",0,0.00
Coles Printery Ltd.,,Wildey,,St. Michael,,,537-9000,"lulu@colesprintery.com, accounts@coles-media.com",0,0.00
Concorde Bank Ltd.,,P.O. Box 261,,Bridgetown,,,430-5320,"concorde@concordebb.com, sharmainevaughan@concordebb.com",0,463.54
Constellation Brands Intl. IBC Inc.,,Letchworth House,Building #1,The Garrison,,St. Michael,537-9768,judith.mckree@cbrands.com,0,0.00
Consumers Guarantee Insurance Co. Ltd.,,River Road,,St. Michael,,,367-3809,kcurwen@insurecgi.com,0,0.00
Consumers Guarantee Insurance Head Office,,"CGI Building, Warrens",,St.Michael,,,367-3827,kcurwen@insurecgi.com,0,213.85
Cool Runnings Catamaran Cruises,,Carlisle House,Bridgetown,,,,436-0911,info@coolrunningsbarbados.com,0,660.00
Coralisle Medical Insurance Ltd.,,"Unit 3D, The Dormers, Prior Park",,St. James,,,538-4444,"alicia.sobers@cgcoralisle.com, tina.fox@cgcoralisle.com",0,0.00
Cosy Cafe,,Speightstown,,St.Peter,Barbados,,828-6592,coffeebros.bb@gmail.com,0,102.41
Courtesy Garage Ltd.,,Wildey,,St. Michael,,,431-4187 (Direct),cgl.accountspayable@thegelgroup.com,0,431.24
Courtesy Garage Sales Department,,Wildey,,St.Michael,Barbados,,431-4121,"hartleneoughterson@thegelgroup.com, cgl.accountspayable@thegelgroup.com",0,244.69
Creditinfo Barbados Ltd,,Collymore Rock,,St.Michael,Barbados,,231-8332,"afowler@creditadvicebarbados.com, rholder@creditadvicebarbados.com",0,0.00
Crystal Beach Apartments,,1 Club Morgan Ridge,,Christ Church,Barbados,,,alicia@barnard-realty.com,0,131.60
Deloitte Services Ltd.,,The Goddard Building,,Haggatt Hall,,St. Michael   BB11059,620-6400,"swalton@deloitte.com, bb.nexus@deloitte.com",0,291.40
Derriere Restaurant,,"Limegrove Mall
Holetown",,St.James,Barbados,,233-5112,"papajules@lacabanebarbados.com, info@derriererestaurant.com",0,484.98
Design Collaborative,,"Lauriston House
Collymore Rock",,St. Michael,,,426-1741,"accounts@design-collaborative.net, b.blackman-bhs@caribsurf.com",0,310.20
DGM Financial Group,,"Level 3 Cedar Court
Wildey",,St. Michael  BB14006,,,434-4850,"pforde@dgmgroup.com, mstoute@dgmgroup.com, ldavis@dgmgroup.com",0,902.40
Diamonds International Broad Street,,"Finbarr House
Lower Broad Street
Bridgetown",,St.Michael,Barbados,,430-2400,"kali@shopdi.com, smckeever@shopdi.com, csmall@shopdi.com",0,225.31
Diamonds International Limegrove,,"Limegrove Mall
Holetown",,St.James,Barbados,,266-8725 (Sharron),"smckeever@shopdi.com, csmall@shopdi.com, kali@shopdi.com",0,192.41
Digicel (Barbados) Ltd.,,2nd Floor Williams Towers,Williams Industrial Complex,,,St. Michael   BB22026,467-7078,"finance-bds_finance_payables@digicelgroup.com, mark.lewis2@digicelgroup.com",0,687.38
Digital Rez International Inc.,,"'Shasta House', Upper Bay Street",,St. Michael,,,436-3739,ryanb@digitalrez.com,0,109.57
Diproinduca,,"Edghill Building
Wildey Business Park",,St.Michael,Barbados,,537-1450,"gsmart@diproinduca.com, dblfinance@diproinduca.com",0,0.00
Dive West Side,,"The Boatyard
Bay Street",Bridgetown,,Barbados,,,westsidescuba@gmail.com,0,0.00
DMG Mechanical Reinsurance SCC,,"Palm Beach Corporate Centre, Lower Ground Floor, Hastings",,Christ Church,,BB15156,436-9051,bcarter@dmg.bb,0,0.00
Doug's Realty Ltd.,,5 Sterling,8th Avenue,Belleville,,St. Michael,426-7108,customersupport@dougsrealty.net,0,0.00
Earthworks,,Edgehill Heights No. 2,St. Thomas,,,,425-0223,eworks@caribsurf.com,0,627.00
Eckler Ltd.,,Hastings House,Balmoral Gap,,,Christ Church   BB14034,228-0865 ext 2223,"jsteinbok@eckler.ca, jsteinbok@eckler.ca",0,0.00
El Tigre Cruises,,28 Prior Park,St. James,,,,417-7245,"info@smallcatscruises.com, info@eltigrecruises.com, abigail@eltigrecruises.com",0,627.00
El Tigre Cruises Ltd.,,28 Prior Park,St. James,,,,417-7245,"info@eltigrecruises.com, abigail@eltigrecruises.com, info@smallcatscruises.com",0,627.00
Elegance Catamaran Cruises - Callyat Cruises Ltd.,,20A 3rd Avenue,Christ Church,,,,830-4218,"eileencst@aol.com, elegancebarbados@aol.com",0,0.00
Embassy of Brazil,,"""Hy Brasil""",The Courtyard,Hastings,,Christ Church,427-1735 Ext 131,"angela.weatherhead@itamaraty.gov.br, administ.bridgetown@itamaraty.gov.br",0,0.00
Emera Caribbean Inc.,,P.O. Box 142,,Garrison Hill,,St. Michael  BB11000,626-5003,"dawn.martin@emeracaribbean.com, silvesteen.rock@emeracaribbean.com",0,0.00
Essential Clinic (ARS Medicae Inc),,"No 14 6th Avenue
Belleville",,St.Michael,Barbados,,,"gregorywalton98@gmail.com, tessaleewalton@gmail.com",0,61.69
European External Action Service,,Hastings,,Christ Church,,,434-8501,delegation-barbados@eeas.europa.eu,0,591.62
European Intl. Reinsurance Co. Ltd.,,Carleton Court,High Street,,,Bridgetown,429-6019,andre_burgess@swissre.com,0,0.00
EY Management Ltd.,,P.O. Box 261,,Bridgetown,,,430-3900,annie.wharton@bb.ey.com,0,601.02
EZ Shop Convenience,,,,,,,,ezshopconvenience@gmail.com,0,0.00
F.A.O.,,"United Nations House
Marine Gardens",,Christ Church,,,426-7110,"SLC-Invoices@fao.org, Grace.Brome@fao.org, stuart.sampson@fao.org",0,267.90
